Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2005,Arizona,Colon and Rectum,42.5,40.8,44.1,2550,5839077
2005,Arkansas,Colon and Rectum,50.5,48,53.1,1542,2781097
2005,Kentucky,Colon and Rectum,58,55.7,60.3,2529,4182742
2005,Louisiana,Colon and Rectum,54.5,52.4,56.8,2374,4411396
2005,Pennsylvania,Colon and Rectum,55.2,54,56.4,8303,12449990
2005,Rhode Island,Colon and Rectum,52.4,48.4,56.7,640,1067916
2005,Maine,Colon and Rectum,55.2,51.6,59.1,862,1318787
2005,Maryland,Colon and Rectum,47.2,45.4,49,2603,5592379
2005,Massachusetts,Colon and Rectum,51.3,49.6,53,3617,6403290
2005,Michigan,Colon and Rectum,50.1,48.7,51.5,5250,10051137
2005,South Carolina,Colon and Rectum,50.8,48.7,52.9,2259,4270150
2005,South Dakota,Colon and Rectum,50.3,45.7,55.2,443,775493
2005,Minnesota,Colon and Rectum,46.8,45,48.7,2440,5119598
2005,Mississippi,Colon and Rectum,52.8,50.2,55.5,1535,2876229
2005,Tennessee,Colon and Rectum,52.6,50.8,54.5,3290,5991057
2005,Texas,Colon and Rectum,47.8,46.8,48.8,9340,22773020
2005,Missouri,Colon and Rectum,53.6,51.8,55.4,3360,5790300
2005,Montana,Colon and Rectum,45.6,41.6,49.9,485,940102
2005,Vermont,Colon and Rectum,45,40.1,50.3,312,621215
2005,Virginia,Colon and Rectum,47.7,46.1,49.3,3532,7577105
2005,Nebraska,Colon and Rectum,58.4,54.9,61.9,1106,1761497
2005,Alabama,Colon and Rectum,50.7,48.7,52.7,2475,4565917
2005,Alaska,Colon and Rectum,55.3,48,63.4,241,666946
2006,Idaho,Colon and Rectum,40.7,37.4,44.2,576,1468669
2006,New Mexico,Colon and Rectum,42.1,39.3,45,848,1962137
2006,Colorado,Colon and Rectum,41.5,39.5,43.5,1762,4720423
2006,Utah,Colon and Rectum,37.3,34.6,40.2,713,2525507
2006,Arizona,Colon and Rectum,37.7,36.2,39.3,2335,6029141
2006,South Dakota,Colon and Rectum,46.6,42.2,51.4,415,783033
2006,Tennessee,Colon and Rectum,49.5,47.8,51.3,3192,6088766
2006,Texas,Colon and Rectum,45.4,44.5,46.4,9209,23359580
2006,Vermont,Colon and Rectum,49.2,44.1,54.7,345,622892
2006,Virginia,Colon and Rectum,45.2,43.7,46.7,3438,7673725
2006,Washington,Colon and Rectum,43.3,41.7,45,2748,6370753
2006,West Virginia,Colon and Rectum,54.6,51.5,57.7,1231,1827912
2006,Wisconsin,Colon and Rectum,46.1,44.4,47.9,2776,5577655
2006,Wyoming,Colon and Rectum,49.3,43.4,55.8,259,522667
2006,Arkansas,Colon and Rectum,47.5,45.1,50,1483,2821761
2006,North Carolina,Colon and Rectum,47.9,46.5,49.3,4405,8917270
2006,Alabama,Colon and Rectum,49.9,47.9,51.9,2501,4628981
2006,Alaska,Colon and Rectum,53.8,46.9,61.5,255,675302
2006,South Carolina,Colon and Rectum,48.1,46.1,50.2,2220,4357847
2006,California,Colon and Rectum,44.3,43.6,45,14699,36021202
2006,Pennsylvania,Colon and Rectum,53.4,52.2,54.6,8108,12510809
2006,Rhode Island,Colon and Rectum,52.6,48.6,56.9,644,1063096
2006,North Dakota,Colon and Rectum,50.5,45.5,55.9,385,649422
2006,Ohio,Colon and Rectum,51.5,50.3,52.8,6496,11481213
2006,Oklahoma,Colon and Rectum,50.1,47.8,52.4,1910,3594090
2006,Minnesota,Colon and Rectum,45.6,43.8,47.5,2406,5163555
2006,Mississippi,Colon and Rectum,54.2,51.6,56.9,1603,2904978
2006,Missouri,Colon and Rectum,51.7,50,53.5,3308,5842704
2006,Montana,Colon and Rectum,47.5,43.5,51.8,518,952692
2006,Nebraska,Colon and Rectum,55.9,52.6,59.3,1075,1772693
2006,Nevada,Colon and Rectum,49.7,46.8,52.7,1162,2522658
2006,New Hampshire,Colon and Rectum,45.1,41.6,48.9,624,1308389
